Rank1,Rank2,Rank3,Percentage
0.0,0.0,0.0,0.0
0.001,0.001,0.001,0.00025
0.001,0.001,0.001,0.0005
0.001,0.001,0.001,0.00075
0.002,0.001,0.001,0.001
0.002,0.001,0.001,0.00125
0.002,0.001,0.001,0.0015
0.002,0.001,0.002,0.00175
0.003,0.002,0.002,0.002
0.003,0.002,0.002,0.00225
0.003,0.002,0.003,0.0025
0.003,0.003,0.003,0.00275
0.003,0.003,0.005,0.003
0.004,0.003,0.005,0.00325
0.004,0.004,0.005,0.0035
0.004,0.004,0.005,0.00375
0.004,0.004,0.006,0.004
0.004,0.004,0.006,0.00425
0.005,0.005,0.006,0.0045
0.005,0.005,0.006,0.00475
0.005,0.006,0.007,0.005
0.005,0.006,0.007,0.00525
0.005,0.007,0.007,0.0055
0.006,0.007,0.007,0.00575
0.006,0.007,0.007,0.006
0.006,0.008,0.008,0.00625
0.006,0.009,0.008,0.0065
0.006,0.01,0.008,0.00675
0.006,0.011,0.008,0.007
0.006,0.011,0.008,0.00725
0.007,0.011,0.009,0.0075
0.007,0.011,0.01,0.00775
0.007,0.012,0.012,0.008
0.007,0.013,0.012,0.00825
0.007,0.013,0.012,0.0085
0.008,0.013,0.012,0.00875
0.008,0.013,0.013,0.009
0.008,0.014,0.013,0.00925
0.008,0.014,0.013,0.0095
0.009,0.015,0.014,0.00975
0.01,0.015,0.014,0.01
0.01,0.015,0.014,0.01025
0.011,0.015,0.014,0.0105
0.011,0.015,0.015,0.01075
0.012,0.015,0.015,0.011
0.012,0.016,0.015,0.01125
0.014,0.016,0.017,0.0115
0.014,0.016,0.018,0.01175
0.015,0.016,0.018,0.012
0.015,0.017,0.018,0.01225
0.016,0.017,0.02,0.0125
0.016,0.017,0.02,0.01275
0.016,0.017,0.021,0.013
0.016,0.018,0.021,0.01325
0.016,0.018,0.021,0.0135
0.017,0.018,0.022,0.01375
0.018,0.019,0.022,0.014
0.018,0.019,0.022,0.01425
0.018,0.019,0.022,0.0145
0.018,0.02,0.022,0.01475
0.019,0.02,0.023,0.015
0.021,0.02,0.024,0.01525
0.021,0.021,0.024,0.0155
0.022,0.021,0.025,0.01575
0.022,0.021,0.025,0.016
0.022,0.022,0.025,0.01625
0.026,0.023,0.025,0.0165
0.026,0.024,0.026,0.01675
0.026,0.024,0.026,0.017
0.026,0.026,0.027,0.01725
0.026,0.026,0.028,0.0175
0.027,0.026,0.028,0.01775
0.027,0.026,0.028,0.018
0.028,0.027,0.029,0.01825
0.028,0.027,0.029,0.0185
0.028,0.027,0.029,0.01875
0.03,0.028,0.029,0.019
0.03,0.028,0.029,0.01925
0.031,0.029,0.03,0.0195
0.032,0.029,0.03,0.01975
0.032,0.029,0.03,0.02
0.033,0.03,0.031,0.02025
0.033,0.03,0.031,0.0205
0.033,0.03,0.032,0.02075
0.033,0.031,0.032,0.021
0.034,0.032,0.034,0.02125
0.034,0.032,0.035,0.0215
0.035,0.033,0.035,0.02175
0.037,0.034,0.035,0.022
0.037,0.034,0.035,0.02225
0.037,0.034,0.036,0.0225
0.037,0.035,0.036,0.02275
0.037,0.036,0.038,0.023
0.038,0.036,0.039,0.02325
0.038,0.036,0.04,0.0235
0.039,0.036,0.04,0.02375
0.04,0.037,0.04,0.024
0.04,0.037,0.04,0.02425
0.04,0.037,0.041,0.0245
0.042,0.037,0.042,0.02475
0.042,0.037,0.043,0.025
0.042,0.038,0.043,0.02525
0.043,0.04,0.044,0.0255
0.043,0.041,0.045,0.02575
0.044,0.041,0.046,0.026
0.044,0.042,0.048,0.02625
0.045,0.043,0.049,0.0265
0.046,0.044,0.05,0.02675
0.046,0.044,0.05,0.027
0.047,0.044,0.05,0.02725
0.048,0.044,0.05,0.0275
0.048,0.045,0.051,0.02775
0.049,0.046,0.051,0.028
0.049,0.047,0.051,0.02825
0.05,0.047,0.051,0.0285
0.05,0.047,0.052,0.02875
0.05,0.047,0.053,0.029
0.053,0.048,0.054,0.02925
0.053,0.048,0.054,0.0295
0.053,0.048,0.054,0.02975
0.055,0.048,0.056,0.03
0.055,0.048,0.057,0.03025
0.055,0.049,0.058,0.0305
0.055,0.05,0.059,0.03075
0.056,0.05,0.059,0.031
0.057,0.051,0.062,0.03125
0.057,0.052,0.062,0.0315
0.058,0.052,0.063,0.03175
0.058,0.053,0.063,0.032
0.058,0.053,0.065,0.03225
0.059,0.053,0.066,0.0325
0.06,0.053,0.067,0.03275
0.06,0.054,0.067,0.033
0.06,0.054,0.067,0.03325
0.061,0.055,0.067,0.0335
0.061,0.055,0.069,0.03375
0.061,0.056,0.069,0.034
0.062,0.057,0.069,0.03425
0.063,0.057,0.069,0.0345
0.064,0.057,0.07,0.03475
0.064,0.057,0.07,0.035
0.065,0.058,0.071,0.03525
0.065,0.059,0.071,0.0355
0.066,0.06,0.071,0.03575
0.068,0.061,0.072,0.036
0.069,0.061,0.073,0.03625
0.071,0.062,0.073,0.0365
0.072,0.062,0.074,0.03675
0.072,0.062,0.074,0.037
0.072,0.062,0.076,0.03725
0.074,0.062,0.078,0.0375
0.074,0.062,0.078,0.03775
0.074,0.062,0.079,0.038
0.074,0.063,0.079,0.03825
0.075,0.063,0.08,0.0385
0.076,0.063,0.08,0.03875
0.076,0.063,0.08,0.039
0.076,0.064,0.082,0.03925
0.077,0.064,0.083,0.0395
0.077,0.065,0.083,0.03975
0.078,0.067,0.083,0.04
0.078,0.067,0.084,0.04025
0.078,0.068,0.085,0.0405
0.08,0.069,0.085,0.04075
0.081,0.07,0.085,0.041
0.081,0.07,0.086,0.04125
0.082,0.072,0.087,0.0415
0.083,0.072,0.087,0.04175
0.083,0.073,0.087,0.042
0.085,0.073,0.088,0.04225
0.085,0.074,0.088,0.0425
0.087,0.075,0.089,0.04275
0.087,0.076,0.089,0.043
0.088,0.076,0.09,0.04325
0.088,0.076,0.09,0.0435
0.089,0.076,0.091,0.04375
0.091,0.077,0.091,0.044
0.091,0.079,0.091,0.04425
0.091,0.08,0.094,0.0445
0.092,0.081,0.094,0.04475
0.092,0.082,0.094,0.045
0.092,0.083,0.094,0.04525
0.093,0.083,0.095,0.0455
0.093,0.083,0.097,0.04575
0.093,0.085,0.097,0.046
0.094,0.085,0.097,0.04625
0.096,0.086,0.098,0.0465
0.096,0.087,0.099,0.04675
0.097,0.087,0.1,0.047
0.098,0.087,0.101,0.04725
0.099,0.087,0.102,0.0475
0.1,0.087,0.103,0.04775
0.101,0.088,0.103,0.048
0.102,0.089,0.103,0.04825
0.103,0.09,0.105,0.0485
0.103,0.091,0.106,0.04875
0.103,0.092,0.107,0.049
0.104,0.094,0.108,0.04925
0.104,0.095,0.108,0.0495
0.106,0.095,0.108,0.04975
0.106,0.095,0.11,0.05
0.106,0.096,0.11,0.05025
0.107,0.096,0.112,0.0505
0.107,0.097,0.112,0.05075
0.108,0.097,0.113,0.051
0.108,0.097,0.113,0.05125
0.108,0.098,0.113,0.0515
0.109,0.099,0.113,0.05175
0.11,0.102,0.114,0.052
0.111,0.103,0.114,0.05225
0.113,0.104,0.115,0.0525
0.113,0.104,0.116,0.05275
0.114,0.104,0.116,0.053
0.115,0.105,0.116,0.05325
0.115,0.105,0.121,0.0535
0.115,0.106,0.122,0.05375
0.116,0.106,0.123,0.054
0.116,0.106,0.123,0.05425
0.116,0.107,0.124,0.0545
0.119,0.108,0.124,0.05475
0.12,0.108,0.125,0.055
0.121,0.109,0.125,0.05525
0.121,0.109,0.125,0.0555
0.121,0.11,0.126,0.05575
0.121,0.11,0.127,0.056
0.122,0.111,0.129,0.05625
0.122,0.112,0.13,0.0565
0.123,0.112,0.13,0.05675
0.123,0.114,0.132,0.057
0.124,0.114,0.133,0.05725
0.124,0.115,0.134,0.0575
0.126,0.116,0.135,0.05775
0.126,0.116,0.137,0.058
0.129,0.117,0.137,0.05825
0.129,0.117,0.138,0.0585
0.129,0.117,0.139,0.05875
0.13,0.117,0.139,0.059
0.131,0.118,0.139,0.05925
0.132,0.118,0.141,0.0595
0.133,0.119,0.142,0.05975
0.134,0.119,0.143,0.06
0.134,0.119,0.144,0.06025
