Rank1,Rank2,Rank3,Percentage
0.0,0.0,0.0,0.0
0.006,0.001,0.001,0.0005
0.011,0.001,0.003,0.001
0.032,0.014,0.014,0.0015
0.042,0.028,0.026,0.002
0.045,0.046,0.028,0.0025
0.05,0.048,0.035,0.003
0.056,0.057,0.041,0.0035
0.072,0.062,0.046,0.004
0.076,0.068,0.067,0.0045
0.082,0.085,0.071,0.005
0.088,0.096,0.079,0.0055
0.091,0.102,0.08,0.006
0.093,0.108,0.087,0.0065
0.103,0.117,0.091,0.007
0.106,0.118,0.106,0.0075
0.107,0.125,0.122,0.008
0.108,0.139,0.125,0.0085
0.113,0.149,0.125,0.009
0.121,0.154,0.137,0.0095
0.122,0.156,0.139,0.01
0.123,0.157,0.156,0.0105
0.129,0.158,0.17,0.011
0.133,0.166,0.178,0.0115
0.137,0.173,0.197,0.012
0.139,0.176,0.198,0.0125
0.156,0.182,0.203,0.013
0.177,0.183,0.206,0.0135
0.182,0.204,0.213,0.014
0.185,0.208,0.213,0.0145
0.194,0.22,0.217,0.015
0.195,0.249,0.221,0.0155
0.199,0.251,0.249,0.016
0.199,0.257,0.253,0.0165
0.21,0.266,0.288,0.017
0.224,0.266,0.289,0.0175
0.225,0.278,0.304,0.018
0.237,0.281,0.31,0.0185
0.26,0.288,0.311,0.019
0.269,0.289,0.314,0.0195
0.271,0.294,0.316,0.02
0.277,0.304,0.327,0.0205
0.296,0.312,0.342,0.021
0.297,0.313,0.35,0.0215
0.317,0.32,0.359,0.022
0.324,0.336,0.378,0.0225
0.338,0.338,0.383,0.023
0.344,0.359,0.385,0.0235
0.357,0.377,0.393,0.024
0.357,0.387,0.395,0.0245
0.369,0.395,0.4,0.025
0.377,0.415,0.403,0.0255
0.388,0.422,0.406,0.026
0.391,0.422,0.426,0.0265
0.402,0.426,0.432,0.027
0.423,0.432,0.442,0.0275
0.429,0.438,0.446,0.028
0.431,0.439,0.446,0.0285
0.448,0.445,0.46,0.029
0.453,0.451,0.467,0.0295
0.466,0.472,0.483,0.03
0.469,0.476,0.493,0.0305
0.478,0.486,0.501,0.031
0.483,0.492,0.507,0.0315
0.484,0.494,0.516,0.032
0.488,0.498,0.526,0.0325
0.493,0.499,0.526,0.033
0.497,0.507,0.534,0.0335
0.502,0.514,0.541,0.034
0.503,0.519,0.553,0.0345
0.516,0.52,0.569,0.035
0.522,0.52,0.574,0.0355
0.528,0.526,0.577,0.036
0.534,0.55,0.578,0.0365
0.541,0.564,0.58,0.037
0.586,0.564,0.598,0.0375
0.596,0.573,0.612,0.038
0.596,0.579,0.613,0.0385
0.619,0.582,0.623,0.039
0.633,0.588,0.628,0.0395
0.653,0.598,0.637,0.04
0.66,0.608,0.64,0.0405
0.666,0.613,0.641,0.041
0.68,0.62,0.651,0.0415
0.681,0.622,0.654,0.042
0.706,0.625,0.667,0.0425
0.722,0.628,0.675,0.043
0.748,0.639,0.677,0.0435
0.753,0.649,0.704,0.044
0.783,0.656,0.715,0.0445
0.784,0.666,0.725,0.045
0.785,0.672,0.726,0.0455
0.786,0.69,0.728,0.046
0.789,0.695,0.736,0.0465
0.794,0.697,0.753,0.047
0.822,0.713,0.756,0.0475
0.828,0.717,0.767,0.048
0.829,0.732,0.776,0.0485
0.829,0.737,0.781,0.049
0.859,0.743,0.781,0.0495
0.917,0.745,0.783,0.05
0.928,0.751,0.786,0.0505
0.939,0.754,0.818,0.051
0.94,0.763,0.829,0.0515
0.944,0.781,0.829,0.052
0.944,0.785,0.839,0.0525
0.947,0.791,0.839,0.053
0.959,0.792,0.839,0.0535
0.971,0.793,0.843,0.054
1.005,0.8,0.875,0.0545
1.023,0.8,0.882,0.055
1.031,0.804,0.882,0.0555
1.032,0.814,0.89,0.056
1.04,0.831,0.894,0.0565
1.04,0.858,0.897,0.057
1.04,0.873,0.901,0.0575
1.053,0.876,0.906,0.058
1.145,0.877,0.909,0.0585
1.149,0.879,0.914,0.059
1.187,0.895,0.917,0.0595
1.197,0.914,0.919,0.06
1.209,0.934,0.922,0.0605
1.22,0.946,0.931,0.061
1.24,0.954,0.941,0.0615
1.241,0.963,0.947,0.062
1.322,0.965,0.947,0.0625
1.322,0.981,0.956,0.063
1.334,0.984,0.959,0.0635
1.354,0.984,0.96,0.064
1.355,0.999,0.968,0.0645
1.358,1.014,0.972,0.065
1.371,1.019,0.978,0.0655
1.388,1.047,0.997,0.066
1.39,1.059,1.005,0.0665
1.443,1.06,1.019,0.067
1.455,1.074,1.027,0.0675
1.464,1.105,1.038,0.068
1.467,1.12,1.042,0.0685
1.49,1.127,1.052,0.069
1.506,1.139,1.064,0.0695
1.525,1.148,1.076,0.07
1.543,1.173,1.093,0.0705
1.564,1.19,1.094,0.071
1.564,1.193,1.103,0.0715
1.566,1.194,1.108,0.072
1.574,1.219,1.11,0.0725
1.606,1.256,1.113,0.073
1.612,1.277,1.122,0.0735
1.645,1.281,1.126,0.074
1.656,1.303,1.127,0.0745
1.66,1.307,1.161,0.075
1.684,1.311,1.197,0.0755
1.684,1.311,1.198,0.076
1.693,1.311,1.204,0.0765
1.695,1.326,1.226,0.077
1.704,1.326,1.29,0.0775
1.706,1.335,1.314,0.078
1.71,1.341,1.326,0.0785
1.727,1.419,1.328,0.079
1.732,1.423,1.331,0.0795
1.769,1.425,1.332,0.08
1.771,1.427,1.345,0.0805
1.791,1.434,1.359,0.081
1.811,1.456,1.37,0.0815
1.829,1.457,1.373,0.082
1.833,1.459,1.373,0.0825
1.881,1.468,1.378,0.083
1.898,1.48,1.389,0.0835
1.91,1.49,1.412,0.084
1.919,1.496,1.412,0.0845
1.924,1.563,1.431,0.085
1.926,1.564,1.465,0.0855
1.939,1.579,1.472,0.086
1.942,1.582,1.472,0.0865
1.982,1.591,1.475,0.087
1.991,1.601,1.482,0.0875
1.991,1.623,1.482,0.088
2.012,1.63,1.483,0.0885
2.034,1.654,1.512,0.089
2.083,1.655,1.516,0.0895
2.094,1.666,1.539,0.09
2.098,1.672,1.552,0.0905
2.098,1.71,1.564,0.091
2.117,1.716,1.565,0.0915
2.12,1.724,1.566,0.092
2.128,1.727,1.578,0.0925
2.14,1.744,1.579,0.093
2.151,1.746,1.581,0.0935
2.156,1.75,1.607,0.094
2.16,1.751,1.63,0.0945
2.185,1.817,1.633,0.095
2.189,1.847,1.638,0.0955
2.192,1.866,1.643,0.096
2.236,1.866,1.652,0.0965
2.249,1.872,1.665,0.097
2.27,1.876,1.681,0.0975
2.27,1.877,1.682,0.098
2.27,1.886,1.684,0.0985
2.314,1.91,1.709,0.099
2.322,1.913,1.719,0.0995
2.378,1.923,1.722,0.1
2.379,1.934,1.722,0.1005
2.395,1.942,1.722,0.101
2.406,1.954,1.726,0.1015
2.408,1.965,1.735,0.102
2.411,1.976,1.752,0.1025
2.435,1.992,1.775,0.103
2.469,2.055,1.784,0.1035
2.5,2.063,1.785,0.104
2.504,2.082,1.791,0.1045
2.509,2.103,1.793,0.105
2.573,2.11,1.807,0.1055
2.578,2.116,1.808,0.106
2.589,2.12,1.816,0.1065
2.591,2.124,1.826,0.107
2.666,2.135,1.827,0.1075
2.678,2.148,1.84,0.108
2.777,2.174,1.844,0.1085
2.777,2.189,1.844,0.109
2.791,2.215,1.86,0.1095
2.811,2.22,1.863,0.11
2.838,2.225,1.872,0.1105
2.893,2.231,1.874,0.111
2.913,2.239,1.874,0.1115
2.93,2.248,1.894,0.112
2.962,2.251,1.895,0.1125
2.967,2.254,1.898,0.113
2.992,2.255,1.901,0.1135
3.006,2.258,1.904,0.114
3.028,2.269,1.94,0.1145
3.035,2.273,1.95,0.115
3.056,2.292,1.955,0.1155
3.058,2.302,1.955,0.116
3.089,2.303,1.975,0.1165
3.097,2.31,1.976,0.117
3.117,2.316,1.977,0.1175
3.129,2.327,1.993,0.118
3.135,2.334,1.997,0.1185
3.136,2.341,2.006,0.119
3.14,2.348,2.014,0.1195
3.149,2.348,2.019,0.12
3.161,2.374,2.021,0.1205
3.171,2.381,2.023,0.121
3.173,2.393,2.026,0.1215
3.224,2.401,2.04,0.122
3.257,2.406,2.048,0.1225
3.274,2.411,2.058,0.123
3.304,2.419,2.065,0.1235
3.316,2.42,2.07,0.124
3.324,2.425,2.073,0.1245
3.352,2.428,2.093,0.125
3.354,2.446,2.128,0.1255
3.369,2.461,2.135,0.126
3.38,2.479,2.137,0.1265
3.386,2.485,2.173,0.127
3.391,2.486,2.177,0.1275
3.44,2.489,2.227,0.128
3.482,2.489,2.232,0.1285
3.487,2.5,2.236,0.129
3.497,2.505,2.25,0.1295
3.503,2.52,2.26,0.13
3.503,2.525,2.261,0.1305
3.589,2.544,2.276,0.131
3.609,2.563,2.288,0.1315
3.619,2.574,2.291,0.132
3.622,2.596,2.297,0.1325
3.662,2.602,2.299,0.133
3.679,2.602,2.323,0.1335
3.685,2.605,2.336,0.134
3.689,2.61,2.345,0.1345
3.711,2.612,2.372,0.135
3.712,2.624,2.381,0.1355
3.713,2.639,2.388,0.136
3.714,2.673,2.393,0.1365
3.743,2.692,2.407,0.137
3.751,2.692,2.435,0.1375
3.789,2.743,2.45,0.138
3.858,2.743,2.495,0.1385
3.878,2.782,2.509,0.139
