Rank1,Percentage
0.0,0.0
0.004,0.004
0.006,0.008
0.007,0.012
0.011,0.016
0.011,0.02
0.014,0.024
0.017,0.028
0.019,0.032
0.021,0.036
0.025,0.04
0.026,0.044
0.029,0.048
0.029,0.052
0.03,0.056
0.033,0.06
0.034,0.064
0.055,0.068
0.058,0.072
0.063,0.076
0.069,0.08
0.07,0.084
0.07,0.088
0.084,0.092
0.093,0.096
0.099,0.1
0.124,0.104
0.144,0.108
0.197,0.112
0.214,0.116
0.241,0.12
0.311,0.124
0.311,0.128
0.349,0.132
0.369,0.136
0.389,0.14
0.427,0.144
0.483,0.148
0.483,0.152
0.499,0.156
0.506,0.16
0.522,0.164
0.528,0.168
0.545,0.172
0.576,0.176
0.651,0.18
0.663,0.184
0.7,0.188
0.728,0.192
0.76,0.196
0.787,0.2
0.797,0.204
0.842,0.208
0.865,0.212
0.884,0.216
0.931,0.22
0.933,0.224
0.964,0.228
0.997,0.232
1.012,0.236
1.063,0.24
1.186,0.244
1.287,0.248
1.299,0.252
1.366,0.256
1.435,0.26
1.455,0.264
1.469,0.268
1.523,0.272
1.549,0.276
1.645,0.28
1.659,0.284
1.774,0.288
1.855,0.292
1.88,0.296
2.005,0.3
2.013,0.304
2.024,0.308
2.075,0.312
2.232,0.316
2.316,0.32
2.487,0.324
2.516,0.328
2.566,0.332
2.579,0.336
2.665,0.34
2.791,0.344
2.873,0.348
3.035,0.352
3.153,0.356
3.237,0.36
3.306,0.364
3.606,0.368
3.849,0.372
3.862,0.376
3.927,0.38
3.955,0.384
4.51,0.388
4.686,0.392
5.03,0.396
5.384,0.4
5.399,0.404
5.44,0.408
5.495,0.412
5.646,0.416
5.671,0.42
5.802,0.424
5.811,0.428
5.895,0.432
6.419,0.436
6.503,0.44
6.651,0.444
7.213,0.448
7.286,0.452
7.458,0.456
7.52,0.46
7.767,0.464
7.829,0.468
8.133,0.472
8.358,0.476
8.505,0.48
8.547,0.484
8.981,0.488
9.107,0.492
9.122,0.496
9.193,0.5
9.223,0.504
9.522,0.508
9.63,0.512
9.789,0.516
9.886,0.52
10.005,0.524
10.328,0.528
10.568,0.532
10.618,0.536
10.795,0.54
11.4,0.544
11.533,0.548
11.708,0.552
11.732,0.556
11.984,0.56
12.07,0.564
12.088,0.568
12.311,0.572
12.316,0.576
12.517,0.58
12.854,0.584
13.666,0.588
14.247,0.592
14.877,0.596
14.986,0.6
15.053,0.604
15.734,0.608
16.475,0.612
17.053,0.616
17.724,0.62
18.025,0.624
18.429,0.628
18.471,0.632
18.58,0.636
19.043,0.64
19.263,0.644
19.315,0.648
19.366,0.652
20.072,0.656
20.56,0.66
21.506,0.664
21.58,0.668
21.904,0.672
23.308,0.676
24.274,0.68
25.501,0.684
25.647,0.688
25.785,0.692
25.891,0.696
25.935,0.7
26.272,0.704
26.444,0.708
28.245,0.712
28.349,0.716
28.688,0.72
29.595,0.724
30.709,0.728
31.488,0.732
31.827,0.736
32.147,0.74
32.967,0.744
33.327,0.748
34.257,0.752
35.203,0.756
36.033,0.76
38.589,0.764
39.114,0.768
39.321,0.772
39.852,0.776
40.266,0.78
41.335,0.784
41.472,0.788
41.977,0.792
43.042,0.796
43.35,0.8
43.453,0.804
43.676,0.808
46.11,0.812
46.461,0.816
46.56,0.82
46.774,0.824
47.159,0.828
48.942,0.832
50.096,0.836
51.765,0.84
52.131,0.844
52.89,0.848
54.671,0.852
54.68,0.856
56.199,0.86
56.442,0.864
56.46,0.868
56.582,0.872
57.457,0.876
57.614,0.88
62.721,0.884
66.275,0.888
67.352,0.892
67.683,0.896
69.052,0.9
69.25,0.904
71.498,0.908
73.529,0.912
73.931,0.916
74.866,0.92
77.618,0.924
80.032,0.928
80.236,0.932
81.269,0.936
81.285,0.94
89.495,0.944
95.085,0.948
103.658,0.952
109.571,0.956
115.494,0.96
123.202,0.964
123.72,0.968
129.024,0.972
146.826,0.976
149.631,0.98
193.413,0.984
218.843,0.988
221.755,0.992
225.461,0.996
265.01,1.0
