Rank1,Rank2,Rank3,Rank4,Percentage
0.0,0.0,0.0,0.0,0.0
0.024,0.0,0.0,0.0,0.001
0.026,0.0,0.0,0.0,0.002
0.037,0.002,0.0,0.0,0.003
0.069,0.002,0.0,0.0,0.004
0.082,0.002,0.0,0.0,0.005
0.085,0.003,0.0,0.0,0.006
0.121,0.003,0.0,0.0,0.007
0.148,0.004,0.0,0.0,0.008
0.154,0.004,0.0,0.0,0.009
0.165,0.005,0.0,0.0,0.01
0.18,0.005,0.0,0.0,0.011
0.2,0.006,0.0,0.0,0.012
0.211,0.006,0.0,0.0,0.013
0.227,0.007,0.0,0.0,0.014
0.229,0.008,0.0,0.0,0.015
0.261,0.008,0.0,0.0,0.016
0.301,0.009,0.0,0.0,0.017
0.302,0.011,0.0,0.0,0.018
0.314,0.013,0.0,0.0,0.019
0.331,0.014,0.0,0.0,0.02
0.34,0.014,0.0,0.0,0.021
0.342,0.015,0.0,0.0,0.022
0.365,0.016,0.0,0.0,0.023
0.365,0.017,0.0,0.0,0.024
0.393,0.018,0.0,0.0,0.025
0.407,0.019,0.0,0.0,0.026
0.418,0.019,0.0,0.0,0.027
0.419,0.021,0.0,0.0,0.028
0.447,0.023,0.0,0.0,0.029
0.462,0.023,0.0,0.0,0.03
0.472,0.025,0.0,0.0,0.031
0.475,0.026,0.0,0.0,0.032
0.484,0.03,0.0,0.0,0.033
0.51,0.032,0.0,0.0,0.034
0.517,0.033,0.0,0.0,0.035
0.535,0.034,0.0,0.0,0.036
0.639,0.036,0.0,0.0,0.037
0.642,0.037,0.0,0.0,0.038
0.643,0.037,0.0,0.0,0.039
0.68,0.038,0.0,0.0,0.04
0.686,0.04,0.0,0.0,0.041
0.69,0.041,0.0,0.0,0.042
0.694,0.041,0.0,0.0,0.043
0.703,0.043,0.0,0.0,0.044
0.716,0.043,0.0,0.0,0.045
0.759,0.045,0.0,0.0,0.046
0.789,0.046,0.001,0.0,0.047
0.796,0.047,0.001,0.0,0.048
0.799,0.05,0.002,0.0,0.049
0.824,0.051,0.002,0.0,0.05
0.839,0.056,0.002,0.0,0.051
0.849,0.057,0.002,0.0,0.052
0.862,0.061,0.002,0.0,0.053
0.924,0.062,0.002,0.0,0.054
0.925,0.063,0.003,0.0,0.055
0.971,0.064,0.003,0.0,0.056
