Rank1,Rank2,Rank3,Rank4,Percentage
0.0,0.0,0.0,0.0,0.0
0.462,0.0,0.0,0.0,0.001
0.479,0.002,0.0,0.0,0.002
0.483,0.007,0.0,0.0,0.003
0.582,0.009,0.0,0.0,0.004
0.864,0.011,0.0,0.0,0.005
1.122,0.012,0.0,0.0,0.006
1.625,0.012,0.0,0.0,0.007
2.014,0.015,0.0,0.0,0.008
2.112,0.028,0.0,0.0,0.009
2.433,0.052,0.001,0.0,0.01
2.882,0.075,0.001,0.0,0.011
3.038,0.089,0.002,0.0,0.012
3.138,0.104,0.002,0.0,0.013
3.643,0.11,0.002,0.0,0.014
3.7,0.116,0.003,0.0,0.015
3.925,0.12,0.003,0.0,0.016
4.334,0.127,0.005,0.0,0.017
4.369,0.131,0.005,0.0,0.018
4.443,0.139,0.005,0.0,0.019
4.96,0.144,0.007,0.0,0.02
5.224,0.157,0.007,0.0,0.021
6.195,0.161,0.008,0.0,0.022
6.464,0.167,0.009,0.0,0.023
6.712,0.176,0.01,0.0,0.024
7.281,0.186,0.01,0.0,0.025
7.57,0.191,0.011,0.0,0.026
7.638,0.197,0.011,0.0,0.027
7.672,0.201,0.012,0.0,0.028
8.03,0.221,0.013,0.0,0.029
9.285,0.225,0.013,0.0,0.03
9.386,0.231,0.014,0.0,0.031
9.481,0.256,0.015,0.0,0.032
10.038,0.264,0.015,0.0,0.033
10.74,0.272,0.017,0.0,0.034
11.352,0.273,0.018,0.0,0.035
11.407,0.287,0.019,0.0,0.036
13.033,0.287,0.019,0.0,0.037
13.134,0.287,0.019,0.0,0.038
13.235,0.298,0.02,0.0,0.039
13.741,0.302,0.021,0.0,0.04
13.751,0.31,0.021,0.0,0.041
14.862,0.314,0.022,0.0,0.042
14.964,0.322,0.023,0.0,0.043
15.73,0.327,0.024,0.0,0.044
16.054,0.33,0.025,0.0,0.045
16.079,0.34,0.026,0.0,0.046
16.164,0.343,0.027,0.0,0.047
17.149,0.354,0.027,0.0,0.048
17.235,0.365,0.027,0.0,0.049
17.645,0.396,0.028,0.0,0.05
17.719,0.401,0.028,0.0,0.051
18.418,0.407,0.028,0.0,0.052
18.459,0.422,0.029,0.0,0.053
19.377,0.437,0.029,0.0,0.054
19.462,0.465,0.029,0.0,0.055
19.696,0.493,0.029,0.0,0.056
19.729,0.517,0.03,0.0,0.057
20.483,0.534,0.033,0.0,0.058
20.708,0.546,0.035,0.0,0.059
21.48,0.555,0.036,0.0,0.06
22.216,0.557,0.036,0.0,0.061
22.443,0.572,0.037,0.0,0.062
22.887,0.582,0.038,0.0,0.063
23.196,0.607,0.039,0.0,0.064
23.317,0.613,0.041,0.0,0.065
24.011,0.619,0.044,0.0,0.066
24.06,0.638,0.044,0.0,0.067
24.113,0.646,0.044,0.0,0.068
24.172,0.647,0.047,0.0,0.069
25.168,0.673,0.048,0.001,0.07
25.322,0.687,0.05,0.001,0.071
25.455,0.694,0.054,0.001,0.072
25.516,0.696,0.056,0.001,0.073
25.558,0.712,0.06,0.001,0.074
25.935,0.72,0.061,0.002,0.075
26.22,0.722,0.062,0.002,0.076
27.009,0.742,0.064,0.002,0.077
27.448,0.744,0.065,0.002,0.078
27.813,0.745,0.066,0.002,0.079
28.288,0.747,0.067,0.002,0.08
28.405,0.75,0.068,0.003,0.081
28.68,0.753,0.068,0.003,0.082
28.689,0.76,0.07,0.003,0.083
28.75,0.779,0.071,0.003,0.084
28.84,0.789,0.071,0.003,0.085
29.042,0.797,0.071,0.004,0.086
29.121,0.799,0.073,0.004,0.087
29.185,0.809,0.078,0.004,0.088
29.201,0.814,0.078,0.005,0.089
29.371,0.815,0.078,0.005,0.09
29.582,0.823,0.082,0.005,0.091
29.934,0.824,0.082,0.006,0.092
30.029,0.837,0.085,0.006,0.093
30.091,0.841,0.088,0.006,0.094
30.317,0.843,0.088,0.006,0.095
30.759,0.852,0.091,0.006,0.096
30.855,0.866,0.092,0.007,0.097
31.05,0.881,0.094,0.007,0.098
31.141,0.89,0.098,0.007,0.099
31.608,0.891,0.1,0.008,0.1
31.694,0.904,0.101,0.008,0.101
31.712,0.912,0.101,0.008,0.102
31.75,0.918,0.106,0.008,0.103
32.706,0.938,0.107,0.008,0.104
33.227,0.946,0.108,0.008,0.105
33.273,0.946,0.108,0.009,0.106
33.707,0.948,0.112,0.009,0.107
34.495,0.954,0.113,0.01,0.108
35.055,0.966,0.115,0.01,0.109
35.179,0.967,0.116,0.01,0.11
35.3,0.97,0.117,0.01,0.111
35.507,0.982,0.118,0.01,0.112
36.014,1.013,0.118,0.011,0.113
36.189,1.019,0.124,0.011,0.114
37.325,1.024,0.124,0.012,0.115
38.496,1.025,0.124,0.012,0.116
38.652,1.036,0.125,0.012,0.117
38.734,1.04,0.126,0.013,0.118
38.847,1.046,0.126,0.013,0.119
39.605,1.049,0.128,0.014,0.12
39.777,1.06,0.131,0.014,0.121
40.387,1.091,0.133,0.014,0.122
40.515,1.092,0.133,0.016,0.123
41.151,1.096,0.136,0.016,0.124
41.507,1.102,0.137,0.016,0.125
42.118,1.11,0.137,0.017,0.126
43.036,1.111,0.138,0.017,0.127
43.391,1.127,0.139,0.018,0.128
43.554,1.142,0.139,0.018,0.129
43.596,1.143,0.142,0.019,0.13
44.007,1.143,0.142,0.019,0.131
44.312,1.143,0.144,0.02,0.132
44.932,1.162,0.144,0.02,0.133
45.279,1.166,0.144,0.02,0.134
45.818,1.171,0.144,0.02,0.135
45.897,1.18,0.147,0.021,0.136
46.039,1.18,0.147,0.021,0.137
46.167,1.201,0.149,0.021,0.138
46.343,1.202,0.152,0.021,0.139
47.102,1.202,0.152,0.022,0.14
47.182,1.205,0.152,0.022,0.141
47.214,1.208,0.155,0.022,0.142
47.236,1.211,0.157,0.022,0.143
47.301,1.241,0.161,0.022,0.144
47.608,1.249,0.161,0.023,0.145
47.919,1.25,0.164,0.024,0.146
48.235,1.257,0.165,0.025,0.147
48.266,1.264,0.169,0.026,0.148
49.114,1.272,0.17,0.026,0.149
49.179,1.273,0.171,0.027,0.15
49.735,1.296,0.18,0.027,0.151
50.756,1.304,0.18,0.028,0.152
50.83,1.307,0.182,0.028,0.153
50.994,1.317,0.182,0.029,0.154
52.249,1.328,0.182,0.029,0.155
53.917,1.337,0.183,0.029,0.156
54.58,1.362,0.183,0.03,0.157
54.82,1.364,0.184,0.03,0.158
56.29,1.365,0.185,0.031,0.159
56.358,1.399,0.185,0.032,0.16
56.884,1.401,0.188,0.034,0.161
57.18,1.408,0.192,0.034,0.162
57.238,1.409,0.193,0.034,0.163
57.613,1.411,0.195,0.035,0.164
57.782,1.422,0.196,0.036,0.165
58.287,1.422,0.201,0.037,0.166
58.829,1.451,0.203,0.037,0.167
59.146,1.456,0.205,0.037,0.168
59.409,1.47,0.208,0.037,0.169
59.644,1.482,0.209,0.038,0.17
60.158,1.504,0.21,0.039,0.171
61.187,1.523,0.213,0.039,0.172
61.257,1.526,0.214,0.039,0.173
62.083,1.537,0.217,0.04,0.174
62.19,1.549,0.218,0.04,0.175
62.191,1.584,0.221,0.04,0.176
62.635,1.605,0.223,0.042,0.177
62.789,1.609,0.224,0.042,0.178
63.24,1.635,0.226,0.042,0.179
63.983,1.649,0.227,0.044,0.18
64.015,1.656,0.238,0.045,0.181
64.324,1.661,0.238,0.045,0.182
64.376,1.688,0.238,0.046,0.183
65.607,1.692,0.24,0.046,0.184
65.993,1.693,0.249,0.047,0.185
66.009,1.695,0.253,0.047,0.186
66.195,1.7,0.255,0.05,0.187
66.404,1.701,0.255,0.05,0.188
66.87,1.704,0.26,0.051,0.189
67.356,1.709,0.264,0.051,0.19
67.631,1.727,0.267,0.052,0.191
67.798,1.74,0.267,0.052,0.192
68.357,1.749,0.272,0.053,0.193
68.408,1.756,0.274,0.053,0.194
68.778,1.758,0.274,0.054,0.195
69.086,1.766,0.276,0.054,0.196
69.742,1.778,0.276,0.054,0.197
69.921,1.807,0.281,0.055,0.198
69.953,1.81,0.285,0.055,0.199
70.184,1.811,0.285,0.055,0.2
70.229,1.832,0.286,0.055,0.201
70.848,1.845,0.286,0.056,0.202
70.944,1.849,0.289,0.057,0.203
71.199,1.85,0.29,0.06,0.204
71.253,1.856,0.293,0.06,0.205
71.9,1.877,0.301,0.06,0.206
72.245,1.894,0.304,0.061,0.207
72.463,1.9,0.307,0.062,0.208
73.161,1.902,0.308,0.062,0.209
73.212,1.905,0.308,0.063,0.21
73.408,1.912,0.309,0.064,0.211
73.558,1.915,0.314,0.067,0.212
73.945,1.924,0.318,0.067,0.213
74.143,1.935,0.318,0.068,0.214
74.724,1.944,0.325,0.068,0.215
76.191,1.977,0.332,0.068,0.216
76.813,1.978,0.336,0.069,0.217
76.861,1.982,0.343,0.071,0.218
76.956,1.985,0.343,0.071,0.219
77.364,2.001,0.352,0.072,0.22
77.864,2.008,0.355,0.072,0.221
