Rank1,Rank2,Rank3,Rank4,Percentage
0.0,0.0,0.0,0.0,0.0
0.004,0.0,0.0,0.0,0.004
0.006,0.0,0.0,0.0,0.008
0.007,0.0,0.0,0.0,0.012
0.011,0.0,0.0,0.0,0.016
0.011,0.0,0.0,0.0,0.02
0.014,0.0,0.0,0.0,0.024
0.017,0.0,0.0,0.0,0.028
0.019,0.0,0.0,0.0,0.032
0.021,0.0,0.0,0.0,0.036
0.025,0.0,0.0,0.0,0.04
0.026,0.0,0.0,0.0,0.044
0.029,0.0,0.0,0.0,0.048
0.029,0.0,0.0,0.0,0.052
0.03,0.0,0.0,0.0,0.056
0.033,0.0,0.0,0.0,0.06
0.034,0.001,0.0,0.0,0.064
0.055,0.001,0.0,0.0,0.068
0.058,0.001,0.0,0.0,0.072
0.063,0.001,0.0,0.0,0.076
0.069,0.001,0.0,0.0,0.08
0.07,0.002,0.0,0.0,0.084
0.07,0.003,0.0,0.0,0.088
0.084,0.004,0.0,0.0,0.092
0.093,0.004,0.0,0.0,0.096
0.099,0.005,0.0,0.0,0.1
0.124,0.005,0.0,0.0,0.104
0.144,0.006,0.0,0.0,0.108
0.197,0.006,0.0,0.0,0.112
0.214,0.007,0.0,0.0,0.116
0.241,0.007,0.0,0.0,0.12
0.311,0.008,0.0,0.0,0.124
0.311,0.008,0.0,0.0,0.128
0.349,0.009,0.0,0.0,0.132
0.369,0.013,0.0,0.0,0.136
0.389,0.014,0.0,0.0,0.14
0.427,0.014,0.0,0.0,0.144
0.483,0.015,0.0,0.0,0.148
0.483,0.017,0.0,0.0,0.152
0.499,0.029,0.0,0.0,0.156
0.506,0.031,0.0,0.0,0.16
0.522,0.032,0.0,0.0,0.164
0.528,0.036,0.0,0.0,0.168
0.545,0.04,0.0,0.0,0.172
0.576,0.041,0.001,0.0,0.176
0.651,0.054,0.001,0.0,0.18
0.663,0.06,0.001,0.0,0.184
0.7,0.062,0.002,0.0,0.188
0.728,0.063,0.002,0.0,0.192
0.76,0.069,0.003,0.0,0.196
0.787,0.071,0.004,0.0,0.2
0.797,0.074,0.004,0.0,0.204
0.842,0.077,0.004,0.0,0.208
0.865,0.08,0.005,0.0,0.212
0.884,0.087,0.005,0.0,0.216
0.931,0.092,0.006,0.0,0.22
0.933,0.098,0.007,0.0,0.224
0.964,0.1,0.009,0.0,0.228
0.997,0.11,0.01,0.0,0.232
1.012,0.116,0.01,0.0,0.236
1.063,0.129,0.011,0.0,0.24
1.186,0.131,0.012,0.0,0.244
1.287,0.133,0.012,0.0,0.248
1.299,0.145,0.016,0.0,0.252
1.366,0.145,0.016,0.0,0.256
1.435,0.145,0.018,0.0,0.26
1.455,0.156,0.018,0.0,0.264
1.469,0.16,0.021,0.0,0.268
1.523,0.161,0.022,0.0,0.272
1.549,0.17,0.024,0.0,0.276
1.645,0.193,0.024,0.0,0.28
1.659,0.196,0.026,0.0,0.284
1.774,0.2,0.027,0.0,0.288
1.855,0.214,0.028,0.0,0.292
1.88,0.231,0.03,0.0,0.296
2.005,0.259,0.031,0.0,0.3
2.013,0.269,0.031,0.0,0.304
2.024,0.27,0.032,0.0,0.308
2.075,0.27,0.038,0.001,0.312
2.232,0.276,0.047,0.001,0.316
2.316,0.282,0.064,0.001,0.32
2.487,0.293,0.065,0.001,0.324
2.516,0.328,0.072,0.002,0.328
2.566,0.342,0.075,0.002,0.332
2.579,0.345,0.08,0.002,0.336
2.665,0.355,0.085,0.003,0.34
2.791,0.359,0.089,0.005,0.344
2.873,0.378,0.098,0.01,0.348
3.035,0.385,0.102,0.01,0.352
3.153,0.385,0.105,0.012,0.356
3.237,0.387,0.109,0.014,0.36
3.306,0.389,0.121,0.014,0.364
3.606,0.411,0.121,0.017,0.368
3.849,0.438,0.127,0.027,0.372
3.862,0.461,0.13,0.028,0.376
3.927,0.48,0.131,0.03,0.38
3.955,0.482,0.149,0.036,0.384
4.51,0.495,0.157,0.037,0.388
4.686,0.559,0.169,0.038,0.392
5.03,0.595,0.171,0.041,0.396
5.384,0.602,0.178,0.045,0.4
5.399,0.634,0.195,0.046,0.404
5.44,0.66,0.197,0.059,0.408
5.495,0.661,0.202,0.072,0.412
5.646,0.669,0.22,0.072,0.416
5.671,0.69,0.221,0.072,0.42
5.802,0.722,0.221,0.075,0.424
5.811,0.772,0.268,0.077,0.428
5.895,0.807,0.287,0.08,0.432
6.419,0.83,0.3,0.081,0.436
6.503,0.831,0.301,0.085,0.44
6.651,0.838,0.306,0.085,0.444
7.213,0.858,0.329,0.085,0.448
7.286,0.918,0.334,0.093,0.452
7.458,0.934,0.345,0.105,0.456
7.52,0.964,0.357,0.112,0.46
7.767,1.012,0.364,0.112,0.464
7.829,1.022,0.368,0.116,0.468
8.133,1.065,0.371,0.118,0.472
8.358,1.122,0.378,0.121,0.476
8.505,1.18,0.414,0.123,0.48
8.547,1.192,0.416,0.123,0.484
8.981,1.2,0.446,0.124,0.488
9.107,1.217,0.458,0.14,0.492
9.122,1.248,0.51,0.157,0.496
9.193,1.262,0.516,0.16,0.5
9.223,1.341,0.517,0.164,0.504
9.522,1.35,0.524,0.174,0.508
9.63,1.354,0.525,0.175,0.512
9.789,1.449,0.525,0.192,0.516
9.886,1.545,0.539,0.192,0.52
10.005,1.55,0.539,0.214,0.524
10.328,1.644,0.543,0.22,0.528
10.568,1.681,0.551,0.232,0.532
10.618,1.797,0.558,0.257,0.536
10.795,1.809,0.59,0.263,0.54
11.4,1.925,0.612,0.275,0.544
11.533,1.943,0.624,0.301,0.548
11.708,2.03,0.676,0.305,0.552
11.732,2.036,0.696,0.328,0.556
11.984,2.084,0.724,0.345,0.56
12.07,2.124,0.739,0.365,0.564
12.088,2.183,0.768,0.378,0.568
12.311,2.196,0.849,0.437,0.572
12.316,2.198,0.862,0.439,0.576
12.517,2.232,0.882,0.466,0.58
12.854,2.514,0.927,0.47,0.584
13.666,2.562,0.972,0.497,0.588
14.247,2.634,0.988,0.499,0.592
14.877,2.807,1.002,0.507,0.596
14.986,2.902,1.075,0.517,0.6
15.053,2.907,1.158,0.522,0.604
15.734,3.04,1.189,0.525,0.608
16.475,3.245,1.202,0.539,0.612
17.053,3.255,1.261,0.551,0.616
17.724,3.561,1.294,0.58,0.62
18.025,3.617,1.366,0.602,0.624
18.429,3.918,1.408,0.612,0.628
18.471,3.997,1.475,0.62,0.632
18.58,4.122,1.485,0.695,0.636
19.043,4.222,1.489,0.798,0.64
19.263,4.274,1.632,0.823,0.644
19.315,4.294,1.69,0.845,0.648
19.366,4.404,1.716,0.882,0.652
20.072,4.667,1.786,0.918,0.656
20.56,5.089,1.838,0.919,0.66
21.506,5.236,1.906,0.936,0.664
21.58,5.24,1.91,0.991,0.668
21.904,6.472,2.066,1.0,0.672
23.308,6.688,2.136,1.045,0.676
24.274,6.884,2.158,1.075,0.68
25.501,6.915,2.179,1.076,0.684
25.647,6.941,2.215,1.102,0.688
25.785,7.454,2.309,1.291,0.692
25.891,7.742,2.326,1.303,0.696
25.935,7.847,2.351,1.366,0.7
26.272,7.88,2.37,1.436,0.704
26.444,8.136,2.646,1.485,0.708
28.245,8.548,2.807,1.576,0.712
28.349,8.551,2.821,1.617,0.716
28.688,8.587,2.907,1.632,0.72
29.595,9.208,3.136,1.985,0.724
30.709,9.584,3.32,1.997,0.728
31.488,9.731,3.399,2.037,0.732
31.827,10.234,3.577,2.052,0.736
32.147,10.534,3.797,2.066,0.74
32.967,10.595,3.9,2.21,0.744
33.327,10.769,4.062,2.218,0.748
34.257,10.807,4.361,2.222,0.752
35.203,10.9,4.37,2.309,0.756
36.033,11.066,4.689,2.32,0.76
38.589,11.473,4.753,2.465,0.764
39.114,12.138,4.88,2.491,0.768
39.321,12.447,4.921,2.592,0.772
39.852,13.9,5.117,2.625,0.776
40.266,14.287,5.44,2.646,0.78
41.335,14.389,5.68,2.757,0.784
41.472,14.532,5.681,2.762,0.788
41.977,15.149,5.874,2.807,0.792
43.042,15.237,6.268,3.454,0.796
43.35,15.97,6.518,3.523,0.8
43.453,16.006,6.894,3.577,0.804
43.676,16.018,6.993,3.671,0.808
46.11,16.113,7.216,3.784,0.812
46.461,17.848,7.298,4.071,0.816
46.56,17.917,7.569,4.197,0.82
46.774,18.305,7.781,4.235,0.824
47.159,18.472,7.821,4.37,0.828
48.942,18.741,8.294,4.689,0.832
50.096,19.734,8.653,4.731,0.836
51.765,21.856,8.672,4.856,0.84
52.131,22.08,9.0,5.299,0.844
52.89,22.121,9.477,5.68,0.848
54.671,22.19,9.81,5.696,0.852
54.68,23.759,10.479,5.73,0.856
56.199,24.089,12.668,6.263,0.86
56.442,24.663,14.307,6.296,0.864
56.46,25.991,14.386,6.894,0.868
56.582,28.071,16.227,7.05,0.872
57.457,29.831,17.836,7.298,0.876
57.614,30.934,18.102,7.299,0.88
62.721,30.948,20.654,8.653,0.884
66.275,32.238,20.737,10.059,0.888
67.352,38.177,22.692,10.202,0.892
67.683,38.567,23.627,10.55,0.896
69.052,40.682,24.803,10.579,0.9
69.25,40.868,27.429,12.385,0.904
71.498,42.47,27.627,12.729,0.908
73.529,43.445,28.127,13.209,0.912
73.931,43.599,30.016,13.391,0.916
74.866,43.718,30.132,13.523,0.92
77.618,48.465,30.354,14.158,0.924
80.032,54.746,31.215,14.705,0.928
80.236,55.069,35.427,16.205,0.932
81.269,55.205,39.197,24.128,0.936
81.285,55.799,40.682,25.11,0.94
89.495,56.224,42.223,27.069,0.944
95.085,57.296,43.014,29.816,0.948
103.658,57.862,46.627,34.98,0.952
109.571,59.264,47.944,40.682,0.956
115.494,62.506,49.368,43.96,0.96
123.202,67.632,54.112,46.072,0.964
123.72,80.933,66.566,46.877,0.968
129.024,89.08,70.271,47.944,0.972
146.826,112.238,72.458,48.353,0.976
149.631,118.844,88.683,49.004,0.98
193.413,121.329,100.945,50.083,0.984
218.843,153.701,120.879,88.683,0.988
221.755,174.072,121.298,93.057,0.992
225.461,222.848,131.047,109.347,0.996
265.01,314.535,314.535,314.535,1.0
