Rank1,Rank2,Rank3,Percentage
0.0,0.0,0.0,0.0
0.001,0.001,0.001,0.0005
0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.0015
0.001,0.001,0.001,0.002
0.002,0.001,0.001,0.0025
0.002,0.002,0.002,0.003
0.002,0.002,0.002,0.0035
0.002,0.002,0.002,0.004
0.002,0.002,0.002,0.0045
0.002,0.002,0.002,0.005
0.002,0.002,0.002,0.0055
0.002,0.002,0.002,0.006
0.002,0.002,0.002,0.0065
0.003,0.003,0.003,0.007
0.003,0.003,0.003,0.0075
0.003,0.003,0.003,0.008
0.003,0.003,0.003,0.0085
0.004,0.004,0.004,0.009
0.004,0.004,0.004,0.0095
0.004,0.004,0.004,0.01
0.004,0.004,0.004,0.0105
0.004,0.005,0.004,0.011
0.005,0.005,0.005,0.0115
0.005,0.005,0.005,0.012
0.006,0.006,0.006,0.0125
0.006,0.006,0.006,0.013
0.006,0.006,0.006,0.0135
0.006,0.006,0.006,0.014
0.007,0.007,0.007,0.0145
0.007,0.007,0.007,0.015
0.007,0.007,0.007,0.0155
0.008,0.008,0.008,0.016
0.01,0.01,0.01,0.0165
0.01,0.01,0.01,0.017
0.01,0.01,0.01,0.0175
0.01,0.01,0.01,0.018
0.011,0.011,0.011,0.0185
0.012,0.012,0.012,0.019
0.012,0.012,0.012,0.0195
0.012,0.012,0.012,0.02
0.013,0.013,0.013,0.0205
0.013,0.013,0.013,0.021
0.014,0.013,0.014,0.0215
0.014,0.014,0.014,0.022
0.014,0.014,0.014,0.0225
0.014,0.014,0.014,0.023
0.015,0.015,0.015,0.0235
0.015,0.015,0.015,0.024
0.015,0.015,0.015,0.0245
0.016,0.016,0.016,0.025
0.016,0.016,0.016,0.0255
0.016,0.016,0.016,0.026
0.017,0.017,0.017,0.0265
0.017,0.017,0.017,0.027
0.018,0.018,0.018,0.0275
0.019,0.019,0.019,0.028
0.019,0.019,0.019,0.0285
0.019,0.019,0.019,0.029
0.019,0.019,0.019,0.0295
0.019,0.019,0.019,0.03
0.02,0.02,0.02,0.0305
0.02,0.02,0.02,0.031
0.02,0.02,0.02,0.0315
0.021,0.021,0.021,0.032
0.021,0.021,0.021,0.0325
0.021,0.021,0.021,0.033
0.022,0.022,0.022,0.0335
0.023,0.023,0.023,0.034
0.023,0.023,0.023,0.0345
0.024,0.024,0.024,0.035
0.024,0.024,0.024,0.0355
0.024,0.024,0.024,0.036
0.025,0.025,0.025,0.0365
0.026,0.026,0.026,0.037
0.026,0.026,0.026,0.0375
0.026,0.026,0.026,0.038
0.026,0.026,0.026,0.0385
0.026,0.026,0.026,0.039
0.027,0.027,0.027,0.0395
0.027,0.027,0.027,0.04
0.028,0.028,0.028,0.0405
0.028,0.028,0.028,0.041
0.028,0.028,0.028,0.0415
0.028,0.028,0.028,0.042
0.03,0.03,0.03,0.0425
0.031,0.031,0.031,0.043
0.033,0.033,0.033,0.0435
0.034,0.034,0.034,0.044
0.034,0.034,0.034,0.0445
0.034,0.034,0.034,0.045
0.035,0.035,0.035,0.0455
0.035,0.035,0.035,0.046
0.035,0.035,0.035,0.0465
0.037,0.037,0.037,0.047
0.037,0.037,0.037,0.0475
0.037,0.037,0.037,0.048
0.038,0.038,0.038,0.0485
0.038,0.038,0.038,0.049
0.04,0.04,0.039,0.0495
0.041,0.041,0.041,0.05
0.042,0.042,0.042,0.0505
0.042,0.042,0.042,0.051
0.043,0.043,0.043,0.0515
0.043,0.043,0.043,0.052
0.043,0.043,0.043,0.0525
0.044,0.044,0.044,0.053
0.044,0.044,0.044,0.0535
0.045,0.045,0.045,0.054
0.045,0.045,0.045,0.0545
0.045,0.045,0.045,0.055
0.046,0.046,0.046,0.0555
0.046,0.046,0.046,0.056
0.047,0.047,0.047,0.0565
0.047,0.047,0.047,0.057
0.047,0.047,0.047,0.0575
0.047,0.047,0.047,0.058
0.047,0.047,0.047,0.0585
0.048,0.048,0.048,0.059
0.049,0.049,0.049,0.0595
0.049,0.049,0.049,0.06
0.049,0.049,0.049,0.0605
0.05,0.05,0.05,0.061
0.05,0.05,0.05,0.0615
0.05,0.05,0.05,0.062
0.051,0.051,0.051,0.0625
0.051,0.051,0.051,0.063
0.054,0.054,0.054,0.0635
0.055,0.055,0.055,0.064
0.055,0.055,0.055,0.0645
0.056,0.056,0.056,0.065
0.056,0.056,0.056,0.0655
0.057,0.057,0.057,0.066
0.057,0.057,0.058,0.0665
0.058,0.058,0.058,0.067
0.058,0.058,0.058,0.0675
0.059,0.059,0.059,0.068
0.06,0.06,0.06,0.0685
0.06,0.06,0.06,0.069
0.06,0.06,0.06,0.0695
0.061,0.061,0.061,0.07
0.061,0.061,0.061,0.0705
0.062,0.062,0.062,0.071
0.065,0.065,0.065,0.0715
0.066,0.066,0.066,0.072
0.066,0.066,0.066,0.0725
0.067,0.067,0.067,0.073
0.067,0.067,0.067,0.0735
0.068,0.068,0.068,0.074
0.068,0.068,0.068,0.0745
0.068,0.068,0.068,0.075
0.069,0.069,0.069,0.0755
0.069,0.069,0.069,0.076
0.07,0.07,0.07,0.0765
0.07,0.07,0.07,0.077
0.07,0.07,0.07,0.0775
0.07,0.071,0.071,0.078
0.071,0.071,0.071,0.0785
0.071,0.071,0.071,0.079
0.071,0.071,0.071,0.0795
0.072,0.072,0.072,0.08
0.074,0.074,0.074,0.0805
0.074,0.074,0.074,0.081
0.076,0.076,0.076,0.0815
0.076,0.076,0.076,0.082
0.077,0.077,0.077,0.0825
0.077,0.077,0.077,0.083
0.078,0.078,0.078,0.0835
0.078,0.078,0.078,0.084
0.078,0.078,0.078,0.0845
0.079,0.079,0.079,0.085
0.079,0.079,0.079,0.0855
0.08,0.08,0.08,0.086
0.082,0.082,0.082,0.0865
0.082,0.082,0.082,0.087
0.082,0.082,0.082,0.0875
0.083,0.083,0.083,0.088
0.083,0.083,0.083,0.0885
0.084,0.084,0.084,0.089
0.085,0.085,0.085,0.0895
0.085,0.085,0.085,0.09
0.086,0.085,0.086,0.0905
0.086,0.086,0.086,0.091
0.086,0.086,0.086,0.0915
0.086,0.086,0.086,0.092
0.087,0.086,0.087,0.0925
0.089,0.089,0.089,0.093
0.093,0.093,0.093,0.0935
0.093,0.093,0.093,0.094
0.093,0.093,0.093,0.0945
0.096,0.096,0.096,0.095
0.098,0.098,0.098,0.0955
0.099,0.099,0.099,0.096
0.102,0.102,0.102,0.0965
0.104,0.103,0.103,0.097
0.104,0.104,0.104,0.0975
0.104,0.104,0.104,0.098
0.104,0.104,0.104,0.0985
0.105,0.105,0.105,0.099
0.106,0.106,0.106,0.0995
0.107,0.107,0.107,0.1
0.108,0.108,0.108,0.1005
0.109,0.109,0.109,0.101
0.11,0.11,0.11,0.1015
0.111,0.111,0.111,0.102
0.112,0.111,0.112,0.1025
0.112,0.112,0.112,0.103
0.114,0.114,0.114,0.1035
0.114,0.114,0.114,0.104
0.114,0.114,0.114,0.1045
0.115,0.115,0.115,0.105
0.116,0.116,0.116,0.1055
0.117,0.117,0.117,0.106
0.117,0.117,0.117,0.1065
0.118,0.118,0.118,0.107
0.119,0.119,0.119,0.1075
0.119,0.119,0.119,0.108
0.121,0.121,0.121,0.1085
0.122,0.122,0.123,0.109
0.123,0.123,0.123,0.1095
0.123,0.123,0.123,0.11
0.125,0.125,0.125,0.1105
0.128,0.128,0.128,0.111
0.129,0.129,0.129,0.1115
0.13,0.13,0.13,0.112
0.131,0.131,0.131,0.1125
0.133,0.133,0.133,0.113
0.135,0.135,0.135,0.1135
0.135,0.135,0.135,0.114
0.138,0.138,0.138,0.1145
0.138,0.138,0.138,0.115
0.138,0.138,0.138,0.1155
0.14,0.14,0.14,0.116
0.142,0.142,0.142,0.1165
0.143,0.143,0.143,0.117
0.145,0.145,0.145,0.1175
0.145,0.145,0.145,0.118
0.146,0.146,0.146,0.1185
0.146,0.146,0.146,0.119
0.146,0.146,0.146,0.1195
0.147,0.147,0.147,0.12
0.147,0.147,0.147,0.1205
0.148,0.148,0.148,0.121
0.15,0.15,0.15,0.1215
