Rank1,Rank2,Rank3,Percentage
0.0,0.0,0.0,0.0
0.002,0.002,0.002,0.0005
0.004,0.004,0.004,0.001
0.006,0.006,0.006,0.0015
0.011,0.011,0.011,0.002
0.011,0.011,0.011,0.0025
0.019,0.019,0.019,0.003
0.034,0.035,0.031,0.0035
0.035,0.039,0.035,0.004
0.039,0.039,0.039,0.0045
0.047,0.046,0.047,0.005
0.049,0.049,0.049,0.0055
0.05,0.05,0.05,0.006
0.06,0.062,0.059,0.0065
0.065,0.065,0.065,0.007
0.068,0.067,0.068,0.0075
0.072,0.072,0.072,0.008
0.092,0.095,0.092,0.0085
0.093,0.096,0.092,0.009
0.099,0.106,0.101,0.0095
0.107,0.124,0.106,0.01
0.127,0.128,0.127,0.0105
0.137,0.137,0.137,0.011
0.144,0.146,0.145,0.0115
0.146,0.146,0.147,0.012
0.167,0.168,0.166,0.0125
0.177,0.177,0.176,0.013
0.197,0.196,0.199,0.0135
0.215,0.224,0.215,0.014
0.223,0.226,0.218,0.0145
0.235,0.235,0.235,0.015
0.239,0.239,0.239,0.0155
0.245,0.244,0.245,0.016
0.247,0.258,0.248,0.0165
0.252,0.258,0.252,0.017
0.262,0.263,0.261,0.0175
0.263,0.265,0.262,0.018
0.265,0.267,0.266,0.0185
0.284,0.299,0.285,0.019
0.309,0.305,0.31,0.0195
0.319,0.319,0.319,0.02
0.328,0.326,0.328,0.0205
0.329,0.33,0.329,0.021
0.329,0.334,0.331,0.0215
0.333,0.335,0.333,0.022
0.334,0.336,0.335,0.0225
0.338,0.345,0.338,0.023
0.355,0.359,0.356,0.0235
0.361,0.361,0.361,0.024
0.364,0.364,0.364,0.0245
0.373,0.373,0.369,0.025
0.389,0.389,0.39,0.0255
0.394,0.399,0.395,0.026
0.409,0.419,0.408,0.0265
0.43,0.431,0.429,0.027
0.434,0.441,0.429,0.0275
0.441,0.46,0.439,0.028
0.463,0.462,0.455,0.0285
0.469,0.478,0.467,0.029
0.48,0.484,0.479,0.0295
0.482,0.485,0.484,0.03
0.503,0.496,0.502,0.0305
0.511,0.526,0.509,0.031
0.532,0.534,0.532,0.0315
0.545,0.541,0.545,0.032
0.55,0.549,0.55,0.0325
0.553,0.566,0.551,0.033
0.565,0.566,0.565,0.0335
0.567,0.576,0.567,0.034
0.571,0.587,0.567,0.0345
0.578,0.588,0.58,0.035
0.588,0.588,0.587,0.0355
0.594,0.592,0.593,0.036
0.598,0.607,0.597,0.0365
0.619,0.612,0.618,0.037
0.626,0.624,0.619,0.0375
0.629,0.628,0.624,0.038
0.637,0.647,0.636,0.0385
0.648,0.663,0.648,0.039
0.65,0.672,0.649,0.0395
0.678,0.677,0.678,0.04
0.686,0.686,0.686,0.0405
0.701,0.707,0.696,0.041
0.71,0.709,0.709,0.0415
0.712,0.723,0.711,0.042
0.721,0.747,0.722,0.0425
0.723,0.767,0.723,0.043
0.769,0.774,0.769,0.0435
0.781,0.78,0.778,0.044
0.821,0.817,0.82,0.0445
0.824,0.833,0.821,0.045
