Rank1,Rank2,Rank3,Percentage
0.0,0.0,0.0,0.0
0.004,0.004,0.004,0.004
0.006,0.006,0.006,0.008
0.007,0.007,0.007,0.012
0.011,0.011,0.011,0.016
0.011,0.011,0.011,0.02
0.014,0.014,0.014,0.024
0.017,0.017,0.017,0.028
0.019,0.019,0.019,0.032
0.021,0.021,0.021,0.036
0.025,0.025,0.025,0.04
0.026,0.026,0.026,0.044
0.029,0.029,0.029,0.048
0.029,0.029,0.029,0.052
0.03,0.03,0.03,0.056
0.033,0.033,0.033,0.06
0.034,0.034,0.034,0.064
0.055,0.055,0.055,0.068
0.059,0.059,0.058,0.072
0.063,0.063,0.063,0.076
0.069,0.069,0.069,0.08
0.07,0.07,0.07,0.084
0.07,0.07,0.07,0.088
0.084,0.084,0.084,0.092
0.093,0.093,0.093,0.096
0.099,0.099,0.099,0.1
0.124,0.124,0.124,0.104
0.144,0.144,0.144,0.108
0.21,0.154,0.197,0.112
0.214,0.214,0.214,0.116
0.241,0.241,0.241,0.12
0.31,0.307,0.311,0.124
0.314,0.349,0.311,0.128
0.349,0.362,0.349,0.132
0.369,0.369,0.369,0.136
0.389,0.389,0.389,0.14
0.427,0.427,0.427,0.144
0.483,0.483,0.483,0.148
0.483,0.483,0.483,0.152
0.499,0.499,0.499,0.156
0.504,0.5,0.506,0.16
0.522,0.522,0.522,0.164
0.528,0.528,0.528,0.168
0.546,0.546,0.545,0.172
0.577,0.572,0.576,0.176
0.651,0.651,0.651,0.18
0.659,0.663,0.663,0.184
0.702,0.702,0.7,0.188
0.727,0.718,0.728,0.192
0.76,0.76,0.76,0.196
0.787,0.787,0.787,0.2
0.805,0.805,0.797,0.204
0.842,0.837,0.842,0.208
0.865,0.866,0.865,0.212
0.883,0.882,0.884,0.216
0.931,0.922,0.931,0.22
0.933,1.013,0.933,0.224
0.964,1.032,0.964,0.228
1.009,1.063,0.997,0.232
1.011,1.186,1.012,0.236
1.063,1.278,1.063,0.24
1.186,1.295,1.186,0.244
1.293,1.366,1.287,0.248
1.313,1.446,1.299,0.252
1.366,1.455,1.366,0.256
1.439,1.473,1.435,0.26
1.455,1.541,1.455,0.264
1.469,1.549,1.469,0.268
1.524,1.632,1.523,0.272
1.549,1.645,1.549,0.276
1.645,1.774,1.645,0.28
1.655,1.85,1.659,0.284
1.774,1.863,1.774,0.288
1.853,1.973,1.855,0.292
1.878,2.01,1.88,0.296
2.001,2.116,2.005,0.3
2.013,2.265,2.013,0.304
2.018,2.323,2.024,0.308
2.065,2.566,2.075,0.312
2.241,2.588,2.232,0.316
2.484,2.65,2.316,0.32
2.487,2.73,2.487,0.324
2.566,2.873,2.516,0.328
2.575,2.992,2.566,0.332
2.659,3.117,2.579,0.336
2.781,3.237,2.665,0.34
2.873,3.304,2.791,0.344
3.025,3.606,2.873,0.348
3.11,3.669,3.035,0.352
3.237,3.796,3.153,0.356
3.306,3.862,3.237,0.36
3.606,3.902,3.306,0.364
3.836,3.946,3.606,0.368
3.862,4.394,3.849,0.372
3.921,4.682,3.862,0.376
3.956,5.03,3.927,0.38
4.497,5.35,3.955,0.384
4.686,5.427,4.51,0.388
5.03,5.441,4.686,0.392
5.31,5.829,5.03,0.396
5.374,5.847,5.384,0.4
5.432,5.854,5.399,0.404
5.462,5.982,5.44,0.408
5.642,6.054,5.495,0.412
5.649,6.318,5.646,0.416
